CardSet,CardNumber,Rarity,CMC,Rating,Guild,CardName,ManaCost,Type,Bomb,Removal,CombatTrick,Evasive,Counter,CardDraw,ManaFixing,ImageURL
RNA,40,Uncommon,3,2.5,NULL,Gateway Sneak,{2}{U},Creature - Vedalken Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457184&type=card
RNA,41,Common,5,1.5,NULL,Humongulus,{4}{U},Creature - Homunculus,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457185&type=card
RNA,42,Rare,4,3,NULL,Mass Manipulation,{X}{X}{U}{U}{U}{U},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457186&type=card
RNA,43,Mythic,5,4,NULL,Mesmerizing Benthid,{3}{U}{U},Creature - Octopus,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457187&type=card
RNA,44,Common,2,1,NULL,Persistent Petitioners,{1}{U},Creature - Human Advisor,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457188&type=card
RNA,45,Rare,5,3,NULL,Precognitive Perception,{3}{U}{U},Instant,0,0,0,0,0,1,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457189&type=card
RNA,46,Common,6,1.5,NULL,Prying Eyes,{4}{U}{U},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457190&type=card
RNA,47,Uncommon,1,3,NULL,Pteramander,{U},Creature - Salamander Drake,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457191&type=card
RNA,48,Common,2,2,NULL,Quench,{1}{U},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457192&type=card
RNA,49,Common,2,2.5,NULL,Sage's Row Savant,{1}{U},Creature - Vedalken Wizard,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457193&type=card
RNA,50,Common,3,2.5,NULL,Senate Courier,{2}{U},Creature - Bird,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457194&type=card
RNA,51,Common,2,2,NULL,Shimmer of Possibility,{1}{U},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457195&type=card
RNA,52,Uncommon,4,3.5,NULL,Skatewing Spy,{3}{U},Creature - Vedalken Rogue Mutant,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457196&type=card
RNA,53,Common,4,3,NULL,Skitter Eel,{3}{U},Creature - Fish Crab,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457197&type=card
RNA,54,Common,2,2,NULL,Slimebind,{1}{U},Enchantment - Aura,0,1,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457198&type=card
RNA,55,Rare,4,4,NULL,Sphinx of Foresight,{2}{U}{U},Creature - Sphinx,1,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457199&type=card
RNA,56,Uncommon,6,3,NULL,Swirling Torrent,{5}{U},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457200&type=card
RNA,57,Common,3,2,NULL,Thought Collapse,{1}{U}{U},Instant,0,0,0,0,1,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457201&type=card
RNA,58,Rare,3,2.5,NULL,Verity Circle,{2}{U},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457202&type=card
RNA,59,Uncommon,2,1,NULL,Wall of Lost Thoughts,{1}{U},Creature - Wall,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457203&type=card
RNA,60,Uncommon,5,3,NULL,Windstorm Drake,{4}{U},Creature - Drake,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457204&type=card
RNA,61,Rare,5,0,NULL,Awaken the Erstwhile,{3}{B}{B},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457205&type=card
RNA,62,Uncommon,2,1,NULL,Bankrupt in Blood,{1}{B},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457206&type=card
RNA,63,Common,5,3,NULL,Blade Juggler,{4}{B},Creature - Human Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457207&type=card
RNA,64,Common,2,2,NULL,Bladebrand,{1}{B},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457208&type=card
RNA,65,Uncommon,3,2,NULL,Bloodmist Infiltrator,{2}{B},Creature - Vampire,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457209&type=card
RNA,66,Common,4,1.5,NULL,Carrion Imp,{3}{B},Creature - Imp,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457210&type=card
RNA,67,Common,5,2.5,NULL,Catacomb Crocodile,{4}{B},Creature - Crocodile,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457211&type=card
RNA,68,Uncommon,5,3,NULL,Clear the Stage,{4}{B},Instant,0,1,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457212&type=card
RNA,69,Common,6,2,NULL,Consign to the Pit,{5}{B},Sorcery,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457213&type=card
RNA,70,Uncommon,3,3,NULL,Cry of the Carnarium,{1}{B}{B},Sorcery,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457214&type=card
RNA,71,Common,4,2.5,NULL,Dead Revels,{3}{B},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457215&type=card
RNA,72,Common,6,1.5,NULL,Debtors' Transport,{5}{B},Creature - Thrull,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457216&type=card
RNA,73,Uncommon,3,1.5,NULL,Drill Bit,{2}{B},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457217&type=card
RNA,74,Rare,1,0,NULL,Font of Agonies,{B},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457218&type=card
RNA,75,Common,3,3,NULL,Grotesque Demise,{2}{B},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457219&type=card
RNA,76,Rare,1,3,NULL,Gutterbones,{B},Creature - Skeleton Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457220&type=card
RNA,77,Common,4,2,NULL,Ill-Gotten Inheritance,{3}{B},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457221&type=card
RNA,78,Common,3,2.5,NULL,Noxious Groodion,{2}{B},Creature - Beast,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457222&type=card
RNA,79,Uncommon,2,3,NULL,Orzhov Enforcer,{1}{B},Creature - Human Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457223&type=card
RNA,80,Uncommon,5,3,NULL,Orzhov Racketeers,{4}{B},Creature - Human Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457224&type=card
RNA,81,Rare,3,3.5,NULL,Pestilent Spirit,{2}{B},Creature - Spirit,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457225&type=card
RNA,82,Common,2,2,NULL,Plague Wight,{1}{B},Creature - Zombie,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457226&type=card
RNA,83,Rare,2,1,NULL,Priest of Forgotten Gods,{1}{B},Creature - Human Cleric,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457227&type=card
RNA,84,Common,2,2.5,Rakdos,Rakdos Trumpeter,{1}{B},Creature - Human Shaman,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457228&type=card
RNA,85,Mythic,4,4,NULL,Spawn of Mayhem,{2}{B}{B},Creature - Demon,1,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457229&type=card
RNA,86,Uncommon,3,3,NULL,Spire Mangler,{2}{B},Creature - Insect,0,0,1,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457230&type=card
RNA,87,Common,1,1,NULL,Thirsting Shade,{B},Creature - Shade,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457231&type=card
RNA,88,Common,4,2.5,Orzhov,Undercity Scavenger,{3}{B},Creature - Ogre Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457232&type=card
RNA,89,Common,3,1,NULL,Undercity's Embrace,{2}{B},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457233&type=card
RNA,90,Uncommon,4,3.5,Orzhov,Vindictive Vampire,{3}{B},Creature - Vampire,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457234&type=card
RNA,91,Common,3,1.5,NULL,Act of Treason,{2}{R},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457235&type=card
RNA,92,Rare,4,3.5,NULL,Amplifire,{2}{R}{R},Creature - Elemental,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457236&type=card
RNA,93,Common,3,1,NULL,Burn Bright,{2}{R},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457237&type=card
RNA,94,Common,3,3,NULL,Burning-Tree Vandal,{2}{R},Creature - Human Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457238&type=card
RNA,95,Uncommon,2,1,NULL,Cavalcade of Calamity,{1}{R},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457239&type=card
RNA,96,Uncommon,3,3,NULL,Clamor Shaman,{2}{R},Creature - Goblin Shaman,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457240&type=card
RNA,97,Uncommon,4,3.5,NULL,Dagger Caster,{3}{R},Creature - Viashino Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457241&type=card
RNA,98,Common,1,1,NULL,Deface,{R},Sorcery,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457242&type=card
RNA,99,Rare,2,4,NULL,Electrodominance,{X}{R}{R},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457243&type=card
RNA,100,Common,2,1.5,NULL,Feral Maaka,{1}{R},Creature - Cat,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457244&type=card
RNA,101,Uncommon,6,2,NULL,Flames of the Raze-Boar,{5}{R},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457245&type=card
RNA,102,Uncommon,3,1,NULL,Gates Ablaze,{2}{R},Sorcery,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457246&type=card
RNA,103,Common,4,1.5,Gruul,Ghor-Clan Wrecker,{3}{R},Creature - Human Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457247&type=card
RNA,104,Common,3,1.5,NULL,Goblin Gathering,{2}{R},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457248&type=card
RNA,105,Common,2,3,NULL,Gravel-Hide Goblin,{1}{R},Creature - Goblin Shaman,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457249&type=card
RNA,106,Rare,2,3,NULL,Immolation Shaman,{1}{R},Creature - Viashino Shaman,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457250&type=card
RNA,107,Uncommon,3,3,NULL,Light Up the Stage,{2}{R},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457251&type=card
RNA,108,Rare,6,0,NULL,Mirror March,{5}{R},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457252&type=card
RNA,109,Rare,2,3,NULL,Rix Maadi Reveler,{1}{R},Creature - Human Shaman,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457253&type=card
RNA,110,Common,4,0,NULL,Rubble Reading,{3}{R},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457254&type=card
RNA,111,Common,5,3,NULL,Rubblebelt Recluse,{4}{R},Creature - Ogre Berserker,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457255&type=card
RNA,112,Uncommon,6,3,NULL,Rumbling Ruin,{5}{R},Creature - Elemental,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457256&type=card
RNA,113,Common,2,3,NULL,Scorchmark,{1}{R},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457257&type=card
RNA,114,Mythic,5,4.5,NULL,Skarrgan Hellkite,{3}{R}{R},Creature - Dragon,1,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457258&type=card
RNA,115,Common,3,3.5,NULL,Skewer the Critics,{2}{R},Sorcery,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457259&type=card
RNA,116,Uncommon,2,2.5,NULL,Smelt-Ward Ignus,{1}{R},Creature - Elemental,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457260&type=card
RNA,117,Common,1,3,Rakdos,Spear Spewer,{R},Creature - Goblin Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457261&type=card
RNA,118,Common,4,1,NULL,Spikewheel Acrobat,{3}{R},Creature - Human Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457262&type=card
RNA,119,Common,1,2,NULL,Storm Strike,{R},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457263&type=card
RNA,120,Uncommon,1,1,NULL,Tin Street Dodger,{R},Creature - Goblin Rogue,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457264&type=card
RNA,121,Common,4,2.5,NULL,Axebane Beast,{3}{G},Creature - Beast,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457265&type=card
RNA,122,Mythic,5,4.5,NULL,Biogenic Ooze,{3}{G}{G},Creature - Ooze,1,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457266&type=card
RNA,123,Uncommon,6,3,NULL,Biogenic Upgrade,{4}{G}{G},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457267&type=card
RNA,124,Rare,8,4,NULL,End-Raze Forerunners,{5}{G}{G}{G},Creature - Boar,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457268&type=card
RNA,125,Uncommon,4,3.5,NULL,Enraged Ceratok,{2}{G}{G},Creature - Rhino,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457269&type=card
RNA,126,Uncommon,3,1,NULL,Gatebreaker Ram,{2}{G},Creature - Sheep,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457270&type=card
RNA,127,Common,2,2,NULL,Gift of Strength,{1}{G},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457271&type=card
RNA,128,Rare,2,3,NULL,Growth-Chamber Guardian,{1}{G},Creature - Elf Crab Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457272&type=card
RNA,129,Uncommon,4,3,NULL,Gruul Beastmaster,{3}{G},Creature - Human Shaman,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457273&type=card
RNA,130,Rare,4,3.5,NULL,Guardian Project,{3}{G},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457274&type=card
RNA,131,Rare,2,3.5,NULL,Incubation Druid,{1}{G},Creature - Elf Druid,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457275&type=card
RNA,132,Common,5,3,NULL,Mammoth Spider,{4}{G},Creature - Spider,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457276&type=card
RNA,133,Common,1,1.5,NULL,Open the Gates,{G},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457277&type=card
RNA,134,Rare,4,0,NULL,Rampage of the Clans,{3}{G},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457278&type=card
RNA,135,Common,5,3,NULL,Rampaging Rendhorn,{4}{G},Creature - Beast,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457279&type=card
RNA,136,Uncommon,5,1,NULL,Regenesis,{3}{G}{G},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457280&type=card
RNA,137,Common,2,5,NULL,Root Snare,{1}{G},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457281&type=card
RNA,138,Common,3,1,NULL,Sagittars' Volley,{2}{G},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457282&type=card
RNA,139,Common,1,0,NULL,Saruli Caretaker,{G},Creature - Dryad,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457283&type=card
RNA,140,Common,2,3,NULL,Sauroform Hybrid,{1}{G},Creature - Human Lizard Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457284&type=card
RNA,141,Uncommon,2,3,NULL,Silhana Wayfinder,{1}{G},Creature - Elf Scout,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457285&type=card
RNA,142,Common,3,1.5,NULL,Steeple Creeper,{2}{G},Creature - Frog Snake,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457286&type=card
RNA,143,Common,1,1.5,NULL,Stony Strength,{G},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457287&type=card
RNA,144,Common,3,1.5,NULL,Sylvan Brushstrider,{2}{G},Creature - Beast,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457288&type=card
RNA,145,Common,2,2,NULL,Territorial Boar,{1}{G},Creature - Boar,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457289&type=card
RNA,146,Common,2,3,NULL,Titanic Brawl,{1}{G},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457290&type=card
